date,hour,demand,newdatetime,hour_of_day,day_of_month,month_of_year,year,quarter_of_year,week_of_year,day_of_year,day_of_week
2018-08-20,12,112,2018-08-20 12:00:00,12,20,8,2018,3,34,232,0
2018-08-20,13,41,2018-08-20 13:00:00,13,20,8,2018,3,34,232,0
2018-08-20,14,14,2018-08-20 14:00:00,14,20,8,2018,3,34,232,0
2018-08-20,15,22,2018-08-20 15:00:00,15,20,8,2018,3,34,232,0
2018-08-20,16,94,2018-08-20 16:00:00,16,20,8,2018,3,34,232,0
2018-08-20,17,23,2018-08-20 17:00:00,17,20,8,2018,3,34,232,0
2018-08-20,18,39,2018-08-20 18:00:00,18,20,8,2018,3,34,232,0
2018-08-20,19,50,2018-08-20 19:00:00,19,20,8,2018,3,34,232,0
2018-08-20,23,73,2018-08-20 23:00:00,23,20,8,2018,3,34,232,0
2018-08-21,7,96,2018-08-21 07:00:00,7,21,8,2018,3,34,233,1
2018-08-21,8,79,2018-08-21 08:00:00,8,21,8,2018,3,34,233,1
2018-08-21,9,19,2018-08-21 09:00:00,9,21,8,2018,3,34,233,1
2018-08-21,10,94,2018-08-21 10:00:00,10,21,8,2018,3,34,233,1
2018-08-21,11,48,2018-08-21 11:00:00,11,21,8,2018,3,34,233,1
2018-08-21,12,104,2018-08-21 12:00:00,12,21,8,2018,3,34,233,1
2018-08-21,13,25,2018-08-21 13:00:00,13,21,8,2018,3,34,233,1
2018-08-21,14,42,2018-08-21 14:00:00,14,21,8,2018,3,34,233,1
2018-08-21,15,71,2018-08-21 15:00:00,15,21,8,2018,3,34,233,1
2018-08-21,16,81,2018-08-21 16:00:00,16,21,8,2018,3,34,233,1
2018-08-21,17,61,2018-08-21 17:00:00,17,21,8,2018,3,34,233,1
2018-08-21,18,100,2018-08-21 18:00:00,18,21,8,2018,3,34,233,1
2018-08-21,19,24,2018-08-21 19:00:00,19,21,8,2018,3,34,233,1
2018-08-21,20,8,2018-08-21 20:00:00,20,21,8,2018,3,34,233,1
2018-08-21,22,80,2018-08-21 22:00:00,22,21,8,2018,3,34,233,1
2018-08-22,0,41,2018-08-22 00:00:00,0,22,8,2018,3,34,234,2
2018-08-22,6,82,2018-08-22 06:00:00,6,22,8,2018,3,34,234,2
2018-08-22,8,13,2018-08-22 08:00:00,8,22,8,2018,3,34,234,2
2018-08-22,10,60,2018-08-22 10:00:00,10,22,8,2018,3,34,234,2
2018-08-22,11,86,2018-08-22 11:00:00,11,22,8,2018,3,34,234,2
2018-08-22,12,97,2018-08-22 12:00:00,12,22,8,2018,3,34,234,2
2018-08-22,13,56,2018-08-22 13:00:00,13,22,8,2018,3,34,234,2
2018-08-22,14,56,2018-08-22 14:00:00,14,22,8,2018,3,34,234,2
2018-08-22,15,13,2018-08-22 15:00:00,15,22,8,2018,3,34,234,2
2018-08-22,16,106,2018-08-22 16:00:00,16,22,8,2018,3,34,234,2
2018-08-22,17,31,2018-08-22 17:00:00,17,22,8,2018,3,34,234,2
2018-08-22,18,44,2018-08-22 18:00:00,18,22,8,2018,3,34,234,2
2018-08-22,19,59,2018-08-22 19:00:00,19,22,8,2018,3,34,234,2
2018-08-22,20,94,2018-08-22 20:00:00,20,22,8,2018,3,34,234,2
2018-08-22,21,27,2018-08-22 21:00:00,21,22,8,2018,3,34,234,2
2018-08-22,23,79,2018-08-22 23:00:00,23,22,8,2018,3,34,234,2
2018-08-23,8,5,2018-08-23 08:00:00,8,23,8,2018,3,34,235,3
2018-08-23,9,88,2018-08-23 09:00:00,9,23,8,2018,3,34,235,3
2018-08-23,10,95,2018-08-23 10:00:00,10,23,8,2018,3,34,235,3
2018-08-23,11,71,2018-08-23 11:00:00,11,23,8,2018,3,34,235,3
2018-08-23,12,51,2018-08-23 12:00:00,12,23,8,2018,3,34,235,3
2018-08-23,13,93,2018-08-23 13:00:00,13,23,8,2018,3,34,235,3
2018-08-23,14,57,2018-08-23 14:00:00,14,23,8,2018,3,34,235,3
2018-08-23,15,101,2018-08-23 15:00:00,15,23,8,2018,3,34,235,3
2018-08-23,16,83,2018-08-23 16:00:00,16,23,8,2018,3,34,235,3
2018-08-23,17,47,2018-08-23 17:00:00,17,23,8,2018,3,34,235,3
2018-08-23,18,2,2018-08-23 18:00:00,18,23,8,2018,3,34,235,3
2018-08-23,19,52,2018-08-23 19:00:00,19,23,8,2018,3,34,235,3
2018-08-23,21,78,2018-08-23 21:00:00,21,23,8,2018,3,34,235,3
2018-08-23,22,84,2018-08-23 22:00:00,22,23,8,2018,3,34,235,3
2018-08-24,6,77,2018-08-24 06:00:00,6,24,8,2018,3,34,236,4
2018-08-24,8,41,2018-08-24 08:00:00,8,24,8,2018,3,34,236,4
2018-08-24,9,59,2018-08-24 09:00:00,9,24,8,2018,3,34,236,4
2018-08-24,10,34,2018-08-24 10:00:00,10,24,8,2018,3,34,236,4
2018-08-24,11,68,2018-08-24 11:00:00,11,24,8,2018,3,34,236,4
2018-08-24,12,83,2018-08-24 12:00:00,12,24,8,2018,3,34,236,4
2018-08-24,13,19,2018-08-24 13:00:00,13,24,8,2018,3,34,236,4
2018-08-24,14,114,2018-08-24 14:00:00,14,24,8,2018,3,34,236,4
2018-08-24,15,81,2018-08-24 15:00:00,15,24,8,2018,3,34,236,4
2018-08-24,16,105,2018-08-24 16:00:00,16,24,8,2018,3,34,236,4
2018-08-24,17,47,2018-08-24 17:00:00,17,24,8,2018,3,34,236,4
2018-08-24,18,30,2018-08-24 18:00:00,18,24,8,2018,3,34,236,4
2018-08-24,19,88,2018-08-24 19:00:00,19,24,8,2018,3,34,236,4
2018-08-24,20,15,2018-08-24 20:00:00,20,24,8,2018,3,34,236,4
2018-08-24,21,102,2018-08-24 21:00:00,21,24,8,2018,3,34,236,4
2018-08-24,22,43,2018-08-24 22:00:00,22,24,8,2018,3,34,236,4
2018-08-25,1,66,2018-08-25 01:00:00,1,25,8,2018,3,34,237,5
2018-08-25,7,84,2018-08-25 07:00:00,7,25,8,2018,3,34,237,5
2018-08-25,9,25,2018-08-25 09:00:00,9,25,8,2018,3,34,237,5
2018-08-25,10,7,2018-08-25 10:00:00,10,25,8,2018,3,34,237,5
2018-08-25,11,58,2018-08-25 11:00:00,11,25,8,2018,3,34,237,5
2018-08-25,12,61,2018-08-25 12:00:00,12,25,8,2018,3,34,237,5
2018-08-25,13,126,2018-08-25 13:00:00,13,25,8,2018,3,34,237,5
2018-08-25,14,38,2018-08-25 14:00:00,14,25,8,2018,3,34,237,5
2018-08-25,15,80,2018-08-25 15:00:00,15,25,8,2018,3,34,237,5
2018-08-25,16,42,2018-08-25 16:00:00,16,25,8,2018,3,34,237,5
2018-08-25,17,67,2018-08-25 17:00:00,17,25,8,2018,3,34,237,5
2018-08-25,18,36,2018-08-25 18:00:00,18,25,8,2018,3,34,237,5
2018-08-25,19,31,2018-08-25 19:00:00,19,25,8,2018,3,34,237,5
2018-08-25,20,52,2018-08-25 20:00:00,20,25,8,2018,3,34,237,5
2018-08-25,21,100,2018-08-25 21:00:00,21,25,8,2018,3,34,237,5
2018-08-25,23,68,2018-08-25 23:00:00,23,25,8,2018,3,34,237,5
2018-08-26,0,74,2018-08-26 00:00:00,0,26,8,2018,3,34,238,6
2018-08-26,2,37,2018-08-26 02:00:00,2,26,8,2018,3,34,238,6
2018-08-26,8,80,2018-08-26 08:00:00,8,26,8,2018,3,34,238,6
2018-08-26,9,12,2018-08-26 09:00:00,9,26,8,2018,3,34,238,6
2018-08-26,10,84,2018-08-26 10:00:00,10,26,8,2018,3,34,238,6
2018-08-26,11,41,2018-08-26 11:00:00,11,26,8,2018,3,34,238,6
2018-08-26,12,43,2018-08-26 12:00:00,12,26,8,2018,3,34,238,6
2018-08-26,13,100,2018-08-26 13:00:00,13,26,8,2018,3,34,238,6
2018-08-26,14,91,2018-08-26 14:00:00,14,26,8,2018,3,34,238,6
2018-08-26,15,61,2018-08-26 15:00:00,15,26,8,2018,3,34,238,6
2018-08-26,16,121,2018-08-26 16:00:00,16,26,8,2018,3,34,238,6
2018-08-26,17,17,2018-08-26 17:00:00,17,26,8,2018,3,34,238,6
2018-08-26,18,40,2018-08-26 18:00:00,18,26,8,2018,3,34,238,6
2018-08-26,19,61,2018-08-26 19:00:00,19,26,8,2018,3,34,238,6
2018-08-26,20,82,2018-08-26 20:00:00,20,26,8,2018,3,34,238,6
2018-08-26,22,25,2018-08-26 22:00:00,22,26,8,2018,3,34,238,6
2018-08-26,23,39,2018-08-26 23:00:00,23,26,8,2018,3,34,238,6
2018-08-27,8,9,2018-08-27 08:00:00,8,27,8,2018,3,35,239,0
2018-08-27,9,95,2018-08-27 09:00:00,9,27,8,2018,3,35,239,0
2018-08-27,10,40,2018-08-27 10:00:00,10,27,8,2018,3,35,239,0
2018-08-27,11,48,2018-08-27 11:00:00,11,27,8,2018,3,35,239,0
2018-08-27,12,56,2018-08-27 12:00:00,12,27,8,2018,3,35,239,0
2018-08-27,13,63,2018-08-27 13:00:00,13,27,8,2018,3,35,239,0
2018-08-27,14,101,2018-08-27 14:00:00,14,27,8,2018,3,35,239,0
2018-08-27,15,27,2018-08-27 15:00:00,15,27,8,2018,3,35,239,0
2018-08-27,16,102,2018-08-27 16:00:00,16,27,8,2018,3,35,239,0
2018-08-27,17,23,2018-08-27 17:00:00,17,27,8,2018,3,35,239,0
2018-08-27,18,32,2018-08-27 18:00:00,18,27,8,2018,3,35,239,0
2018-08-27,19,86,2018-08-27 19:00:00,19,27,8,2018,3,35,239,0
2018-08-27,20,40,2018-08-27 20:00:00,20,27,8,2018,3,35,239,0
2018-08-27,21,7,2018-08-27 21:00:00,21,27,8,2018,3,35,239,0
2018-08-27,23,35,2018-08-27 23:00:00,23,27,8,2018,3,35,239,0
2018-08-28,8,19,2018-08-28 08:00:00,8,28,8,2018,3,35,240,1
2018-08-28,9,23,2018-08-28 09:00:00,9,28,8,2018,3,35,240,1
2018-08-28,10,83,2018-08-28 10:00:00,10,28,8,2018,3,35,240,1
2018-08-28,11,63,2018-08-28 11:00:00,11,28,8,2018,3,35,240,1
2018-08-28,12,36,2018-08-28 12:00:00,12,28,8,2018,3,35,240,1
2018-08-28,13,114,2018-08-28 13:00:00,13,28,8,2018,3,35,240,1
2018-08-28,14,69,2018-08-28 14:00:00,14,28,8,2018,3,35,240,1
2018-08-28,15,125,2018-08-28 15:00:00,15,28,8,2018,3,35,240,1
2018-08-28,16,111,2018-08-28 16:00:00,16,28,8,2018,3,35,240,1
2018-08-28,17,113,2018-08-28 17:00:00,17,28,8,2018,3,35,240,1
2018-08-28,18,13,2018-08-28 18:00:00,18,28,8,2018,3,35,240,1
2018-08-28,19,69,2018-08-28 19:00:00,19,28,8,2018,3,35,240,1
2018-08-28,20,12,2018-08-28 20:00:00,20,28,8,2018,3,35,240,1
2018-08-28,21,21,2018-08-28 21:00:00,21,28,8,2018,3,35,240,1
2018-08-28,22,87,2018-08-28 22:00:00,22,28,8,2018,3,35,240,1
2018-08-28,23,70,2018-08-28 23:00:00,23,28,8,2018,3,35,240,1
2018-08-29,0,34,2018-08-29 00:00:00,0,29,8,2018,3,35,241,2
2018-08-29,2,78,2018-08-29 02:00:00,2,29,8,2018,3,35,241,2
2018-08-29,3,42,2018-08-29 03:00:00,3,29,8,2018,3,35,241,2
2018-08-29,9,76,2018-08-29 09:00:00,9,29,8,2018,3,35,241,2
2018-08-29,10,69,2018-08-29 10:00:00,10,29,8,2018,3,35,241,2
2018-08-29,11,36,2018-08-29 11:00:00,11,29,8,2018,3,35,241,2
2018-08-29,12,43,2018-08-29 12:00:00,12,29,8,2018,3,35,241,2
2018-08-29,13,46,2018-08-29 13:00:00,13,29,8,2018,3,35,241,2
2018-08-29,14,128,2018-08-29 14:00:00,14,29,8,2018,3,35,241,2
2018-08-29,15,102,2018-08-29 15:00:00,15,29,8,2018,3,35,241,2
2018-08-29,16,49,2018-08-29 16:00:00,16,29,8,2018,3,35,241,2
2018-08-29,17,60,2018-08-29 17:00:00,17,29,8,2018,3,35,241,2
2018-08-29,18,48,2018-08-29 18:00:00,18,29,8,2018,3,35,241,2
2018-08-29,19,85,2018-08-29 19:00:00,19,29,8,2018,3,35,241,2
2018-08-29,20,60,2018-08-29 20:00:00,20,29,8,2018,3,35,241,2
2018-08-29,21,39,2018-08-29 21:00:00,21,29,8,2018,3,35,241,2
2018-08-29,22,15,2018-08-29 22:00:00,22,29,8,2018,3,35,241,2
2018-08-29,23,30,2018-08-29 23:00:00,23,29,8,2018,3,35,241,2
2018-08-30,2,95,2018-08-30 02:00:00,2,30,8,2018,3,35,242,3
2018-08-30,7,11,2018-08-30 07:00:00,7,30,8,2018,3,35,242,3
2018-08-30,8,13,2018-08-30 08:00:00,8,30,8,2018,3,35,242,3
2018-08-30,9,97,2018-08-30 09:00:00,9,30,8,2018,3,35,242,3
2018-08-30,10,49,2018-08-30 10:00:00,10,30,8,2018,3,35,242,3
2018-08-30,11,82,2018-08-30 11:00:00,11,30,8,2018,3,35,242,3
2018-08-30,12,73,2018-08-30 12:00:00,12,30,8,2018,3,35,242,3
2018-08-30,13,109,2018-08-30 13:00:00,13,30,8,2018,3,35,242,3
2018-08-30,14,43,2018-08-30 14:00:00,14,30,8,2018,3,35,242,3
2018-08-30,15,53,2018-08-30 15:00:00,15,30,8,2018,3,35,242,3
2018-08-30,16,47,2018-08-30 16:00:00,16,30,8,2018,3,35,242,3
2018-08-30,17,80,2018-08-30 17:00:00,17,30,8,2018,3,35,242,3
2018-08-30,18,62,2018-08-30 18:00:00,18,30,8,2018,3,35,242,3
2018-08-30,19,101,2018-08-30 19:00:00,19,30,8,2018,3,35,242,3
2018-08-30,20,14,2018-08-30 20:00:00,20,30,8,2018,3,35,242,3
2018-08-30,23,92,2018-08-30 23:00:00,23,30,8,2018,3,35,242,3
2018-08-31,1,45,2018-08-31 01:00:00,1,31,8,2018,3,35,243,4
2018-08-31,8,42,2018-08-31 08:00:00,8,31,8,2018,3,35,243,4
2018-08-31,9,67,2018-08-31 09:00:00,9,31,8,2018,3,35,243,4
2018-08-31,10,10,2018-08-31 10:00:00,10,31,8,2018,3,35,243,4
2018-08-31,11,38,2018-08-31 11:00:00,11,31,8,2018,3,35,243,4
2018-08-31,12,14,2018-08-31 12:00:00,12,31,8,2018,3,35,243,4
2018-08-31,13,10,2018-08-31 13:00:00,13,31,8,2018,3,35,243,4
2018-08-31,14,57,2018-08-31 14:00:00,14,31,8,2018,3,35,243,4
2018-08-31,15,99,2018-08-31 15:00:00,15,31,8,2018,3,35,243,4
2018-08-31,16,25,2018-08-31 16:00:00,16,31,8,2018,3,35,243,4
2018-08-31,17,68,2018-08-31 17:00:00,17,31,8,2018,3,35,243,4
2018-08-31,18,9,2018-08-31 18:00:00,18,31,8,2018,3,35,243,4
2018-08-31,19,44,2018-08-31 19:00:00,19,31,8,2018,3,35,243,4
2018-08-31,23,22,2018-08-31 23:00:00,23,31,8,2018,3,35,243,4
2018-09-01,8,89,2018-09-01 08:00:00,8,1,9,2018,3,35,244,5
2018-09-01,9,49,2018-09-01 09:00:00,9,1,9,2018,3,35,244,5
2018-09-01,10,20,2018-09-01 10:00:00,10,1,9,2018,3,35,244,5
2018-09-01,11,73,2018-09-01 11:00:00,11,1,9,2018,3,35,244,5
2018-09-01,12,37,2018-09-01 12:00:00,12,1,9,2018,3,35,244,5
2018-09-01,13,21,2018-09-01 13:00:00,13,1,9,2018,3,35,244,5
2018-09-01,14,30,2018-09-01 14:00:00,14,1,9,2018,3,35,244,5
2018-09-01,15,88,2018-09-01 15:00:00,15,1,9,2018,3,35,244,5
2018-09-01,16,56,2018-09-01 16:00:00,16,1,9,2018,3,35,244,5
2018-09-01,17,45,2018-09-01 17:00:00,17,1,9,2018,3,35,244,5
2018-09-01,18,72,2018-09-01 18:00:00,18,1,9,2018,3,35,244,5
2018-09-01,19,44,2018-09-01 19:00:00,19,1,9,2018,3,35,244,5
2018-09-01,20,83,2018-09-01 20:00:00,20,1,9,2018,3,35,244,5
2018-09-01,21,11,2018-09-01 21:00:00,21,1,9,2018,3,35,244,5
2018-09-01,22,66,2018-09-01 22:00:00,22,1,9,2018,3,35,244,5
2018-09-02,0,94,2018-09-02 00:00:00,0,2,9,2018,3,35,245,6
2018-09-02,2,59,2018-09-02 02:00:00,2,2,9,2018,3,35,245,6
2018-09-02,10,94,2018-09-02 10:00:00,10,2,9,2018,3,35,245,6
2018-09-02,11,100,2018-09-02 11:00:00,11,2,9,2018,3,35,245,6
2018-09-02,12,29,2018-09-02 12:00:00,12,2,9,2018,3,35,245,6
2018-09-02,13,37,2018-09-02 13:00:00,13,2,9,2018,3,35,245,6
2018-09-02,14,26,2018-09-02 14:00:00,14,2,9,2018,3,35,245,6
2018-09-02,15,17,2018-09-02 15:00:00,15,2,9,2018,3,35,245,6
2018-09-02,16,40,2018-09-02 16:00:00,16,2,9,2018,3,35,245,6
2018-09-02,17,97,2018-09-02 17:00:00,17,2,9,2018,3,35,245,6
2018-09-02,18,68,2018-09-02 18:00:00,18,2,9,2018,3,35,245,6
2018-09-02,20,27,2018-09-02 20:00:00,20,2,9,2018,3,35,245,6
2018-09-02,21,43,2018-09-02 21:00:00,21,2,9,2018,3,35,245,6
2018-09-03,7,73,2018-09-03 07:00:00,7,3,9,2018,3,36,246,0
2018-09-03,8,60,2018-09-03 08:00:00,8,3,9,2018,3,36,246,0
2018-09-03,9,85,2018-09-03 09:00:00,9,3,9,2018,3,36,246,0
2018-09-03,10,40,2018-09-03 10:00:00,10,3,9,2018,3,36,246,0
2018-09-03,12,98,2018-09-03 12:00:00,12,3,9,2018,3,36,246,0
2018-09-03,13,34,2018-09-03 13:00:00,13,3,9,2018,3,36,246,0
2018-09-03,15,14,2018-09-03 15:00:00,15,3,9,2018,3,36,246,0
2018-09-03,16,92,2018-09-03 16:00:00,16,3,9,2018,3,36,246,0
2018-09-03,17,40,2018-09-03 17:00:00,17,3,9,2018,3,36,246,0
2018-09-03,18,35,2018-09-03 18:00:00,18,3,9,2018,3,36,246,0
2018-09-04,8,45,2018-09-04 08:00:00,8,4,9,2018,3,36,247,1
2018-09-04,10,61,2018-09-04 10:00:00,10,4,9,2018,3,36,247,1
2018-09-04,11,16,2018-09-04 11:00:00,11,4,9,2018,3,36,247,1
2018-09-04,12,92,2018-09-04 12:00:00,12,4,9,2018,3,36,247,1
2018-09-04,13,53,2018-09-04 13:00:00,13,4,9,2018,3,36,247,1
2018-09-04,15,105,2018-09-04 15:00:00,15,4,9,2018,3,36,247,1
2018-09-04,16,96,2018-09-04 16:00:00,16,4,9,2018,3,36,247,1
2018-09-04,17,43,2018-09-04 17:00:00,17,4,9,2018,3,36,247,1
2018-09-04,18,98,2018-09-04 18:00:00,18,4,9,2018,3,36,247,1
2018-09-04,19,9,2018-09-04 19:00:00,19,4,9,2018,3,36,247,1
2018-09-04,20,73,2018-09-04 20:00:00,20,4,9,2018,3,36,247,1
2018-09-04,22,57,2018-09-04 22:00:00,22,4,9,2018,3,36,247,1
2018-09-04,23,63,2018-09-04 23:00:00,23,4,9,2018,3,36,247,1
2018-09-05,0,21,2018-09-05 00:00:00,0,5,9,2018,3,36,248,2
2018-09-05,8,60,2018-09-05 08:00:00,8,5,9,2018,3,36,248,2
2018-09-05,9,56,2018-09-05 09:00:00,9,5,9,2018,3,36,248,2
2018-09-05,11,66,2018-09-05 11:00:00,11,5,9,2018,3,36,248,2
2018-09-05,13,6,2018-09-05 13:00:00,13,5,9,2018,3,36,248,2
2018-09-05,15,104,2018-09-05 15:00:00,15,5,9,2018,3,36,248,2
2018-09-05,16,55,2018-09-05 16:00:00,16,5,9,2018,3,36,248,2
2018-09-05,17,90,2018-09-05 17:00:00,17,5,9,2018,3,36,248,2
2018-09-05,18,11,2018-09-05 18:00:00,18,5,9,2018,3,36,248,2
2018-09-05,19,27,2018-09-05 19:00:00,19,5,9,2018,3,36,248,2
2018-09-05,23,55,2018-09-05 23:00:00,23,5,9,2018,3,36,248,2
2018-09-06,8,54,2018-09-06 08:00:00,8,6,9,2018,3,36,249,3
2018-09-06,9,40,2018-09-06 09:00:00,9,6,9,2018,3,36,249,3
2018-09-06,10,57,2018-09-06 10:00:00,10,6,9,2018,3,36,249,3
2018-09-06,11,46,2018-09-06 11:00:00,11,6,9,2018,3,36,249,3
2018-09-06,12,72,2018-09-06 12:00:00,12,6,9,2018,3,36,249,3
2018-09-06,13,19,2018-09-06 13:00:00,13,6,9,2018,3,36,249,3
2018-09-06,14,70,2018-09-06 14:00:00,14,6,9,2018,3,36,249,3
2018-09-06,15,51,2018-09-06 15:00:00,15,6,9,2018,3,36,249,3
2018-09-06,16,13,2018-09-06 16:00:00,16,6,9,2018,3,36,249,3
2018-09-06,17,61,2018-09-06 17:00:00,17,6,9,2018,3,36,249,3
2018-09-06,18,103,2018-09-06 18:00:00,18,6,9,2018,3,36,249,3
2018-09-06,19,13,2018-09-06 19:00:00,19,6,9,2018,3,36,249,3
2018-09-06,21,19,2018-09-06 21:00:00,21,6,9,2018,3,36,249,3
2018-09-06,22,96,2018-09-06 22:00:00,22,6,9,2018,3,36,249,3
2018-09-06,23,5,2018-09-06 23:00:00,23,6,9,2018,3,36,249,3
2018-09-07,6,56,2018-09-07 06:00:00,6,7,9,2018,3,36,250,4
2018-09-07,7,47,2018-09-07 07:00:00,7,7,9,2018,3,36,250,4
2018-09-07,8,61,2018-09-07 08:00:00,8,7,9,2018,3,36,250,4
2018-09-07,9,12,2018-09-07 09:00:00,9,7,9,2018,3,36,250,4
2018-09-07,10,19,2018-09-07 10:00:00,10,7,9,2018,3,36,250,4
2018-09-07,11,68,2018-09-07 11:00:00,11,7,9,2018,3,36,250,4
2018-09-07,12,81,2018-09-07 12:00:00,12,7,9,2018,3,36,250,4
2018-09-07,13,54,2018-09-07 13:00:00,13,7,9,2018,3,36,250,4
2018-09-07,14,33,2018-09-07 14:00:00,14,7,9,2018,3,36,250,4
2018-09-07,15,87,2018-09-07 15:00:00,15,7,9,2018,3,36,250,4
2018-09-07,16,37,2018-09-07 16:00:00,16,7,9,2018,3,36,250,4
2018-09-07,17,11,2018-09-07 17:00:00,17,7,9,2018,3,36,250,4
2018-09-07,18,87,2018-09-07 18:00:00,18,7,9,2018,3,36,250,4
2018-09-07,19,70,2018-09-07 19:00:00,19,7,9,2018,3,36,250,4
2018-09-07,21,34,2018-09-07 21:00:00,21,7,9,2018,3,36,250,4
2018-09-07,22,24,2018-09-07 22:00:00,22,7,9,2018,3,36,250,4
2018-09-07,23,30,2018-09-07 23:00:00,23,7,9,2018,3,36,250,4
2018-09-08,0,86,2018-09-08 00:00:00,0,8,9,2018,3,36,251,5
2018-09-08,2,37,2018-09-08 02:00:00,2,8,9,2018,3,36,251,5
2018-09-08,3,25,2018-09-08 03:00:00,3,8,9,2018,3,36,251,5
2018-09-08,8,31,2018-09-08 08:00:00,8,8,9,2018,3,36,251,5
2018-09-08,9,13,2018-09-08 09:00:00,9,8,9,2018,3,36,251,5
2018-09-08,10,107,2018-09-08 10:00:00,10,8,9,2018,3,36,251,5
2018-09-08,11,103,2018-09-08 11:00:00,11,8,9,2018,3,36,251,5
2018-09-08,12,38,2018-09-08 12:00:00,12,8,9,2018,3,36,251,5
2018-09-08,13,47,2018-09-08 13:00:00,13,8,9,2018,3,36,251,5
2018-09-08,14,102,2018-09-08 14:00:00,14,8,9,2018,3,36,251,5
2018-09-08,15,95,2018-09-08 15:00:00,15,8,9,2018,3,36,251,5
2018-09-08,16,107,2018-09-08 16:00:00,16,8,9,2018,3,36,251,5
2018-09-08,17,44,2018-09-08 17:00:00,17,8,9,2018,3,36,251,5
2018-09-08,18,31,2018-09-08 18:00:00,18,8,9,2018,3,36,251,5
2018-09-08,19,35,2018-09-08 19:00:00,19,8,9,2018,3,36,251,5
2018-09-08,20,83,2018-09-08 20:00:00,20,8,9,2018,3,36,251,5
2018-09-08,21,64,2018-09-08 21:00:00,21,8,9,2018,3,36,251,5
2018-09-08,22,78,2018-09-08 22:00:00,22,8,9,2018,3,36,251,5
2018-09-08,23,18,2018-09-08 23:00:00,23,8,9,2018,3,36,251,5
2018-09-09,1,56,2018-09-09 01:00:00,1,9,9,2018,3,36,252,6
2018-09-09,8,65,2018-09-09 08:00:00,8,9,9,2018,3,36,252,6
2018-09-09,9,62,2018-09-09 09:00:00,9,9,9,2018,3,36,252,6
2018-09-09,10,46,2018-09-09 10:00:00,10,9,9,2018,3,36,252,6
2018-09-09,11,112,2018-09-09 11:00:00,11,9,9,2018,3,36,252,6
2018-09-09,12,87,2018-09-09 12:00:00,12,9,9,2018,3,36,252,6
2018-09-09,13,19,2018-09-09 13:00:00,13,9,9,2018,3,36,252,6
2018-09-09,14,65,2018-09-09 14:00:00,14,9,9,2018,3,36,252,6
2018-09-09,15,40,2018-09-09 15:00:00,15,9,9,2018,3,36,252,6
2018-09-09,16,91,2018-09-09 16:00:00,16,9,9,2018,3,36,252,6
